arquivo,tipo,classificacao,duracao_s,primeira_palavra,ultima_palavra,motivo,erro,energia_borda_ini_db,energia_borda_fim_db
BOLETIM_RADIO_TJRN_10_04_2026_B7_TJRN_TRIPLO_HOMICIDIO_NISIA_FLORESTA_JURI_MANTIDO__CORPO.mp3,CORPO,OK,26.35,A,réu.,,,-120.0,-35.0
BOLETIM_RADIO_TJRN_10_04_2026_B8_TJRN_DUPLA_CONDENADA_ASSALTO__CORPO.mp3,CORPO,OK,50.16,De,capital.,,,-120.0,-120.0
BOLETIM_RADIO_TJRN_10_04_2026_B10_TJRN_DETERMINA_SUSPENSAO_ATO_CANDIDATA_APROVADA_CORPO.mp3,CORPO,OK,43.5,no,cargo.,,,-22.1,-120.0
BOLETIM_RADIO_TJRN_10_04_2026_B9_TJRN_RECONHECE_DESCUMPRIMENTO_CONTRATUAL__CORPO.mp3,CORPO,OK,49.44,uma,reparos.,,,-22.6,-120.0
BOLETIM_RADIO_TJRN_13_04_2026_B1_TJRN_CONDENA_PLATAFORMA_DIGITAL_FALHA__CORPO.mp3,CORPO,OK,47.08,Na,principal.,,,-120.0,-80.8
BOLETIM_RADIO_TJRN_13_04_2026_B2_TJRN_PARNAMIRIM_CONDENADO_ACIDENTE_TRANSPORTE__CORPO.mp3,CORPO,OK,47.15,A,FEMO.,,,-56.9,-28.7
BOLETIM_RADIO_TJRN_13_04_2026_B3_TJRN_IPERN_CONDENADO_INDENIZAR_SERVIDORA__CORPO.mp3,CORPO,OK,44.32,Primeiro,aposentadoria...,,,-22.5,-120.0
BOLETIM_RADIO_TJRN_13_04_2026_B4_TJRN_ACUSADOS_CRIMES_TRAFICO__CORPO.mp3,CORPO,OK,69.61,O,competente.,,,-35.1,-120.0
BOLETIM_RADIO_TJRN_13_04_2026_B5_TJRN_PASSAGEIRA_RECEBEU_MALA_DANIFICADA__CORPO.mp3,CORPO,OK,45.24,De,civil.,,,-25.0,-120.0
BOLETIM_RADIO_TJRN_13_04_2026_B6_TJRN_CONVOCA_45_TECNICOS__CORPO.mp3,CORPO,OK,33.2,A,.br,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-24.1,-120.0
BOLETIM_RADIO_TJRN_13_04_2026_B10_SUPLEMENTO_CRIANCA_SELETIVIDADE_CORPO.mp3,CORPO,OK,44.99,A,verdadeiro.,,,-120.0,-49.6
BOLETIM_RADIO_TJRN_13_04_2026_B7_DANOS_MORAIS_MANOBRA_IRREGULAR_CORPO.mp3,CORPO,OK,56.37,e,causador.,,,-23.4,-120.0
BOLETIM_RADIO_TJRN_13_04_2026_B8_SUSPENSAO_FATURA_ENERGIA_ELETRICA_CORPO.mp3,CORPO,OK,54.1,A,debitado.,,,-120.0,-120.0
BOLETIM_RADIO_TJRN_13_04_2026_B9_CONTRATACAO_MEDICO_IRREGULAR_CORPO.mp3,CORPO,OK,38.92,pedia,forma.,,,-38.3,-43.9
BOLETIM_RADIO_TJRN_14_04_2026_B1_BLOQUEIO_TRATAMENTO_CRIANCA_TEA_CORPO.mp3,CORPO,OK,60.91,A,eliminar.,,,-22.8,-80.8
BOLETIM_RADIO_TJRN_14_04_2026_B2_ANULACAO_DEBITO_TRIBUTARIO_CORPO.mp3,CORPO,OK,26.89,O,causado.,,,-120.0,-120.0
BOLETIM_RADIO_TJRN_14_04_2026_B3_CONDENACAO_PLANO_CIRURGIA_FACIAL_CORPO.mp3,CORPO,OK,26.09,Caso,assistente,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-120.0
BOLETIM_RADIO_TJRN_14_04_2026_B4_INDENIZACAO_FALTA_HIGIENE_HOSPEDAGEM_CORPO.mp3,CORPO,OK,40.25,A,responderação.,,,-120.0,-78.3
BOLETIM_RADIO_TJRN_14_04_2026_B5_ACAO_EXTINTA_HETEROIDENTIFICACAO_CORPO.mp3,CORPO,OK,33.8,Na,"juiz,","CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-42.9
BOLETIM_RADIO_TJRN_14_04_2026_B6_CONDENACAO_FURTO_CARRO_CORPO.mp3,CORPO,OK,57.35,De,crime.,,,-120.0,-55.8
